  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(15846 bytes read, 63418 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(4203 bytes read, 70084 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(4202 bytes read, 106518 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(3846 bytes read, 78348 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(3835 bytes read, 72605 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(7923 bytes read, 38389 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(15105 bytes read, 75164 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(7180 bytes read, 60596 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(3928 bytes read, 77753 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(12262 bytes read, 71464 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(4203 bytes read, 69742 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(16115 bytes read, 62294 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(4202 bytes read, 109750 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(12414 bytes read, 55844 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(12663 bytes read, 100489 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: The read operation timed out; sleeping 2s
  HTTP attempt 3/3 failed: IncompleteRead(31692 bytes read, 18300 more expected); sleeping 4s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 2/3 failed: IncompleteRead(4197 bytes read, 126702 more expected); sleeping 2s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
  HTTP attempt 1/3 failed: The read operation timed out; sleeping 1s
